"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Delphinium glaucum",-115.985183,52.501928,"cdc,cdround","CAN",NA,"PRESENT",44,"iNaturalist",3859631038,"https://www.inaturalist.org/observations/120918694","HUMAN_OBSERVATION",2022,5,29,2022-05-29 10:25:05,"WGS84","iNaturalist research-grade observations","120918694"
"Delphinium glaucum",-113.513245,55.568183,"cdc,cdround","CAN",NA,"PRESENT",12,"iNaturalist",3860128609,"https://www.inaturalist.org/observations/120461463","HUMAN_OBSERVATION",2022,6,5,2022-06-05 12:36:36,"WGS84","iNaturalist research-grade observations","120461463"
"Delphinium glaucum",-135.015031,60.705158,"cdc,cdround","CAN",NA,"PRESENT",167,"iNaturalist",3859469098,"https://www.inaturalist.org/observations/121052296","HUMAN_OBSERVATION",2022,6,9,2022-06-09 21:32:10,"WGS84","iNaturalist research-grade observations","121052296"
"Delphinium glaucum",-115.53247,53.227803,"cdc,cdround","CAN",NA,"PRESENT",20,"iNaturalist",4096768508,"https://www.inaturalist.org/observations/124068765","HUMAN_OBSERVATION",2022,6,29,2022-06-29 12:46:26,"WGS84","iNaturalist research-grade observations","124068765"
"Delphinium glaucum",-138.543527,61.025001,"cdc,cdround","CAN",NA,"PRESENT",694,"iNaturalist",3859251076,"https://www.inaturalist.org/observations/124682683","HUMAN_OBSERVATION",2022,7,2,2022-07-02 16:37:08,"WGS84","iNaturalist research-grade observations","124682683"
"Delphinium glaucum",-149.312758,60.41592,"cdc,cdround","USA",NA,"PRESENT",36,"iNaturalist",3872957914,"https://www.inaturalist.org/observations/124904280","HUMAN_OBSERVATION",2022,7,2,2022-07-02 18:32:56,"WGS84","iNaturalist research-grade observations","124904280"
"Delphinium glaucum",-148.90462,61.783657,"cdc,cdround","USA",NA,"PRESENT",45,"iNaturalist",3860820569,"https://www.inaturalist.org/observations/125083987","HUMAN_OBSERVATION",2022,7,6,2022-07-06 13:22:52,"WGS84","iNaturalist research-grade observations","125083987"
"Delphinium glaucum",-142.9507,61.526195,"cdc","USA",NA,"PRESENT",40,"iNaturalist",3873546995,"https://www.inaturalist.org/observations/125122990","HUMAN_OBSERVATION",2022,7,3,2022-07-03 15:21:11,"WGS84","iNaturalist research-grade observations","125122990"
"Delphinium glaucum",-147.936288,64.889978,"cdc,cdround","USA",NA,"PRESENT",8,"iNaturalist",3873200911,"https://www.inaturalist.org/observations/125875551","HUMAN_OBSERVATION",2022,7,11,2022-07-11 18:52:55,"WGS84","iNaturalist research-grade observations","125875551"
"Delphinium glaucum",-149.629315,61.121409,"cdc,cdround","USA",NA,"PRESENT",9,"iNaturalist",3874022909,"https://www.inaturalist.org/observations/125876604","HUMAN_OBSERVATION",2022,7,11,2022-07-11 13:07:49,"WGS84","iNaturalist research-grade observations","125876604"
