"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Spiraea betulifolia",17.64625,59.82893,NA,"SWE",NA,"PRESENT",10,"SLU Artdatabanken",3767283668,NA,"HUMAN_OBSERVATION",2022,1,1,2022-01-01,"WGS84","Artportalen","97923797"
"Spiraea betulifolia",10.026842,59.756551,"cdc,cdround,gass84","NOR",1,"PRESENT",10,"nbf",3966023490,NA,"HUMAN_OBSERVATION",2022,5,11,2022-05-11,"WGS84",NA,"30775055"
"Spiraea betulifolia",158.636672,53.044278,"cdc,cdround","RUS",NA,"PRESENT",4,"iNaturalist",3858455504,"https://www.inaturalist.org/observations/120442968","HUMAN_OBSERVATION",2022,6,6,2022-06-06 12:36:01,"WGS84","iNaturalist research-grade observations","120442968"
"Spiraea betulifolia",158.3697,52.940025,"cdc,cdround","RUS",NA,"PRESENT",9,"iNaturalist",3858382620,"https://www.inaturalist.org/observations/120475967","HUMAN_OBSERVATION",2022,6,6,2022-06-06 17:11:52,"WGS84","iNaturalist research-grade observations","120475967"
"Spiraea betulifolia",158.639175,53.04525,"cdc","RUS",NA,"PRESENT",4,"iNaturalist",3859606618,"https://www.inaturalist.org/observations/120481094","HUMAN_OBSERVATION",2022,6,6,2022-06-06 11:51:32,"WGS84","iNaturalist research-grade observations","120481094"
"Spiraea betulifolia",158.638262,53.045895,"cdc","RUS",NA,"PRESENT",42,"iNaturalist",3858835942,"https://www.inaturalist.org/observations/120847205","HUMAN_OBSERVATION",2022,6,6,2022-06-06 11:53:16,"WGS84","iNaturalist research-grade observations","120847205"
"Spiraea betulifolia",158.187216,52.9315,"cdc,cdround","RUS",NA,"PRESENT",9,"iNaturalist",3860691635,"https://www.inaturalist.org/observations/121651634","HUMAN_OBSERVATION",2022,6,13,2022-06-13 08:47:17,"WGS84","iNaturalist research-grade observations","121651634"
"Spiraea betulifolia",158.638831,53.029395,"cdc","RUS",NA,"PRESENT",150,"iNaturalist",3858606606,"https://www.inaturalist.org/observations/122771646","HUMAN_OBSERVATION",2022,6,21,2022-06-21 18:32:29,"WGS84","iNaturalist research-grade observations","122771646"
"Spiraea betulifolia",158.627608,53.073906,"cdc,cdround","RUS",NA,"PRESENT",9,"iNaturalist",3860337902,"https://www.inaturalist.org/observations/123054138","HUMAN_OBSERVATION",2022,6,23,2022-06-23 16:08:11,"WGS84","iNaturalist research-grade observations","123054138"
"Spiraea betulifolia",158.640589,53.03788,"cdc,cdround","RUS",NA,"PRESENT",7,"iNaturalist",3859506945,"https://www.inaturalist.org/observations/123141556","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:56:55,"WGS84","iNaturalist research-grade observations","123141556"
"Spiraea betulifolia",158.641049,53.038209,"cdc,cdround","RUS",NA,"PRESENT",7,"iNaturalist",4018254561,"https://www.inaturalist.org/observations/123141562","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:56:54,"WGS84","iNaturalist research-grade observations","123141562"
"Spiraea betulifolia",158.641078,53.038185,"cdc,cdround","RUS",NA,"PRESENT",9,"iNaturalist",4018571534,"https://www.inaturalist.org/observations/123141571","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:56:07,"WGS84","iNaturalist research-grade observations","123141571"
"Spiraea betulifolia",158.641011,53.038148,"cdc,cdround","RUS",NA,"PRESENT",4,"iNaturalist",3873011756,"https://www.inaturalist.org/observations/123141575","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:55:41,"WGS84","iNaturalist research-grade observations","123141575"
"Spiraea betulifolia",158.641551,53.038255,"cdc,cdround","RUS",NA,"PRESENT",6,"iNaturalist",4018295589,"https://www.inaturalist.org/observations/123141830","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:59:16,"WGS84","iNaturalist research-grade observations","123141830"
"Spiraea betulifolia",158.640986,53.038273,"cdc,cdround","RUS",NA,"PRESENT",8,"iNaturalist",3860827823,"https://www.inaturalist.org/observations/123141859","HUMAN_OBSERVATION",2022,6,24,2022-06-24 09:59:56,"WGS84","iNaturalist research-grade observations","123141859"
"Spiraea betulifolia",158.647653,53.046071,"cdc,cdround","RUS",NA,"PRESENT",24,"iNaturalist",4018158573,"https://www.inaturalist.org/observations/123802428","HUMAN_OBSERVATION",2022,6,28,2022-06-28 19:37:20,"WGS84","iNaturalist research-grade observations","123802428"
"Spiraea betulifolia",135.888381,45.137199,"cdc,cdround","RUS",NA,"PRESENT",31,"iNaturalist",3902303976,"https://www.inaturalist.org/observations/130750429","HUMAN_OBSERVATION",2022,6,7,2022-06-07 08:15:00,"WGS84","iNaturalist research-grade observations","130750429"
"Spiraea betulifolia",156.610383,52.975719,"cdc","RUS",NA,"PRESENT",5,"iNaturalist",3985921330,"https://www.inaturalist.org/observations/142346193","HUMAN_OBSERVATION",2022,6,27,2022-06-27 17:16:00,"WGS84","iNaturalist research-grade observations","142346193"
