"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-113.573112,53.504997,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","4028876389","https://www.inaturalist.org/observations/147295152","HUMAN_OBSERVATION",2023,1,24,"2023-01-24T12:42:45","WGS84","iNaturalist research-grade observations","147295152"
"Eurybia conspicua",-119.554214,49.029301,"cdc,cdround","CAN",NA,"PRESENT",20,"iNaturalist","4414036705","https://www.inaturalist.org/observations/183107266","HUMAN_OBSERVATION",2023,5,20,"2023-05-20T14:04:00","WGS84","iNaturalist research-grade observations","183107266"
"Eurybia conspicua",-119.568558,49.047844,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","4413720948","https://www.inaturalist.org/observations/183273317","HUMAN_OBSERVATION",2023,5,22,"2023-05-22T11:29:00","WGS84","iNaturalist research-grade observations","183273317"
"Eurybia conspicua",-114.699562,50.916787,"cdc,cdround","CAN",NA,"PRESENT",9,"iNaturalist","4137803075","https://www.inaturalist.org/observations/165613555","HUMAN_OBSERVATION",2023,6,4,"2023-06-04T14:57:26","WGS84","iNaturalist research-grade observations","165613555"
"Eurybia conspicua",-113.572625,53.512097,"cdc,cdround","CAN",NA,"PRESENT",14,"iNaturalist","4137650209","https://www.inaturalist.org/observations/166510149","HUMAN_OBSERVATION",2023,6,9,"2023-06-09T09:09:46","WGS84","iNaturalist research-grade observations","166510149"
"Eurybia conspicua",-113.602211,53.505398,"cdc,cdround","CAN",NA,"PRESENT",8,"iNaturalist","4137702835","https://www.inaturalist.org/observations/167066833","HUMAN_OBSERVATION",2023,6,8,"2023-06-08T19:09:00","WGS84","iNaturalist research-grade observations","167066833"
"Eurybia conspicua",-113.550767,53.451625,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4137837038","https://www.inaturalist.org/observations/167721892","HUMAN_OBSERVATION",2023,6,15,"2023-06-15T17:34:19","WGS84","iNaturalist research-grade observations","167721892"
"Eurybia conspicua",-115.00202,53.60582,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","4138096473","https://www.inaturalist.org/observations/167794442","HUMAN_OBSERVATION",2023,6,16,"2023-06-16T18:21:59","WGS84","iNaturalist research-grade observations","167794442"
"Eurybia conspicua",-116.932663,51.312411,"cdc,cdround","CAN",NA,"PRESENT",12,"iNaturalist","4176998766","https://www.inaturalist.org/observations/167951572","HUMAN_OBSERVATION",2023,6,17,"2023-06-17T14:11:59","WGS84","iNaturalist research-grade observations","167951572"
"Eurybia conspicua",-116.932472,51.312643,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4177218771","https://www.inaturalist.org/observations/170163119","HUMAN_OBSERVATION",2023,6,29,"2023-06-29T13:42:26","WGS84","iNaturalist research-grade observations","170163119"
